Code,Section number,Depth (cm),Age (kyr BP),Decription,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5,,Weight,Area,TS%(calculated),Date,Remarks,R2,V2O5
MD32-1,1,5.5,,,,30.8,37275,0.06,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-2,1,7.5,3.45,browninsh laminated layer ,,37.6,28785.5,0.04,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-3,1,9.5,3.47,,,40.1,29795,0.04,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-4,1,13.5,3.51,1cm thick browninsh layer,,37.9,28581,0.04,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-5,1,17,3.58,,0.12,37.8,27160.5,0.04,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-6,1,19,3.64,thin turbidite layer ,,41.5,30679,0.04,12-Nov,,0.99,YES,,,,,,,,,,,,,,,,
MD32-7,1,21,3.70,,,29.3,31890.5,0.05,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-8,1,25.4,3.83,,,30.5,25841,0.04,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-9,1,27.7,3.91,thick browninsh layer,,32.1,35090,0.06,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-10,1,30,3.98,turbidite layer ,,26.6,28131,0.06,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-11,1,32.5,4.06,,,32.6,34086,0.05,25-Nov,,,,,,,,,,,,,,,,,,,
MD32-12,1,35.5,4.09,,,30.6,31279,0.05,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-13,1,39,4.27,,,28.9,26097.5,0.05,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-14,1,42.7,4.38,,,28.6,19117,0.06,28-Nov,,,,,31.4,31530,0.05,29-Nov,,,,,31.4,31530,0.05,29-Nov,,,
MD32-15,1,45.5,4.47,,,30,27315.5,0.05,18-Nov,,0.99,NO,,29.7,22068.5,0.06,28-Nov,,0.99,NO,,29.7,22068.5,0.06,28-Nov,,0.99,NO
MD32-16,1,49.2,4.58,,,29.6,27988,0.05,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-17,1,52.5,4.69,,,31.9,28522,0.04,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-18,1,60,4.92,,,33.7,25693,0.04,29-Nov,,,,,,,,,,,,,,,,,,,
MD32-19,1,74,5.35,Thick browninsh layer,,31.2,23224,0.04,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-20,1,88,5.67,darkish layer ,,32.5,27751.5,0.04,22-Nov,,0.99,NO,,,,,,,,,,,,,,,,
MD32-21,1,97.3,5.87,browninsh layer,,32.99,28366,0.05,3-Dec,,,,,,,,,,,,,,,,,,,
MD32-22,1,110.7,6.18,browninsh layer,,32,25380.5,0.04,29-Nov,,,,,,,,,,,,,,,,,,,
